,reason_1,reason_2,reason_3,reason_4,month_value,transportation_expense,age,body_mass_index,education,children,pets,excessive_absenteeism
115,0,0,0,1,1,118,37,28,0,0,0,0
116,0,0,1,0,1,155,34,25,0,2,0,1
117,0,0,0,1,1,225,28,24,0,1,2,0
118,0,0,0,1,1,184,27,21,0,0,0,0
119,0,0,0,1,1,225,28,24,0,1,2,0
120,0,0,0,1,1,225,28,24,0,1,2,0
121,0,0,0,1,1,118,37,28,0,0,0,0
122,0,0,0,1,1,225,28,24,0,1,2,0
123,0,0,0,1,1,118,37,28,0,0,0,0
124,0,0,0,1,1,118,37,28,0,0,0,0
125,0,0,0,1,1,118,37,28,0,0,0,0
126,0,0,0,1,1,118,37,28,0,0,0,0
127,0,0,0,1,1,118,37,28,0,0,0,0
128,0,0,0,1,1,118,37,28,0,0,0,0
129,0,0,1,0,1,179,30,19,1,0,0,1
130,0,0,1,0,1,289,33,30,0,2,1,1
131,0,0,0,1,1,118,37,28,0,0,0,0
132,0,0,0,1,1,184,27,21,0,0,0,0
133,0,0,0,1,1,118,37,28,0,0,0,0
134,0,0,0,1,1,118,37,28,0,0,0,0
135,0,0,0,1,1,225,28,24,0,1,2,0
136,0,0,0,1,1,289,33,30,0,2,1,0
137,0,0,0,1,2,184,27,21,0,0,0,0
138,1,0,0,0,2,246,41,23,0,0,0,1
139,1,0,0,0,2,179,38,31,0,0,0,1
140,0,0,0,1,2,155,34,25,0,2,0,0
141,0,0,0,1,2,189,33,25,0,2,2,1
142,0,0,0,1,2,260,36,23,0,4,0,0
143,0,0,0,1,2,289,33,30,0,2,1,1
144,1,0,0,0,2,388,50,24,0,0,0,1
145,1,0,0,0,2,388,50,24,0,0,0,1
146,0,0,0,1,2,225,28,24,0,1,2,0
147,0,0,0,1,2,225,28,24,0,1,2,0
148,0,0,0,1,2,179,30,19,1,0,0,0
149,0,0,0,1,2,184,27,21,0,0,0,1
150,0,0,0,1,2,225,28,24,0,1,2,0
151,0,0,1,0,2,330,28,25,1,0,0,1
152,0,0,0,1,2,330,28,25,1,0,0,0
153,0,0,0,1,2,225,28,24,0,1,2,0
154,0,0,1,0,2,189,33,25,0,2,2,1
155,0,0,0,1,3,291,32,23,0,0,0,0
156,0,0,1,0,3,260,36,23,0,4,0,1
157,0,0,1,0,3,157,29,22,0,0,0,0
158,0,1,0,0,3,179,40,22,1,2,0,1
159,0,0,0,1,3,291,40,25,0,1,1,1
160,1,0,0,0,3,260,36,23,0,4,0,1
161,1,0,0,0,3,179,30,19,1,0,0,1
162,1,0,0,0,3,248,47,32,0,2,1,0
163,1,0,0,0,3,260,36,23,0,4,0,1
164,1,0,0,0,3,179,40,22,1,2,0,1
165,1,0,0,0,3,155,34,25,0,2,0,1
166,0,0,0,1,3,260,36,23,0,4,0,1
167,1,0,0,0,3,155,34,25,0,2,0,1
168,1,0,0,0,3,289,33,30,0,2,1,1
169,1,0,0,0,3,179,40,22,1,2,0,1
170,0,0,0,1,3,260,36,23,0,4,0,1
171,0,0,0,1,3,225,28,24,0,1,2,0
172,1,0,0,0,3,279,39,24,0,2,0,1
173,1,0,0,0,3,179,38,31,0,0,0,1
174,0,0,0,1,3,225,28,24,0,1,2,0
175,1,0,0,0,3,225,28,24,0,1,2,1
176,1,0,0,0,3,179,30,19,1,0,0,0
177,1,0,0,0,3,225,28,24,0,1,2,1
178,1,0,0,0,3,225,28,24,0,1,2,1
179,1,0,0,0,3,179,38,31,0,0,0,0
180,1,0,0,0,3,279,39,24,0,2,0,1
181,0,0,0,1,3,225,28,24,0,1,2,0
182,1,0,0,0,3,248,47,32,0,2,1,0
183,0,0,0,1,3,225,28,24,0,1,2,0
184,0,0,0,1,4,291,40,25,0,1,1,0
185,0,0,0,1,4,225,28,24,0,1,2,0
186,0,0,0,1,4,155,34,25,0,2,0,0
187,1,0,0,0,4,246,41,23,0,0,0,1
188,0,0,0,1,4,155,34,25,0,2,0,0
189,0,0,0,1,4,225,28,24,0,1,2,0
190,0,0,0,1,4,260,36,23,0,4,0,1
191,1,0,0,0,4,179,38,31,0,0,0,1
192,0,0,0,1,4,118,50,31,0,1,0,0
193,0,0,0,1,4,291,40,25,0,1,1,0
194,1,0,0,0,4,246,41,23,0,0,0,1
195,0,0,0,1,4,291,40,25,0,1,1,0
196,0,0,0,1,4,248,47,32,0,2,1,1
197,0,0,1,0,4,260,36,23,0,4,0,1
198,0,0,1,0,4,289,33,30,0,2,1,1
199,1,0,0,0,4,155,34,25,0,2,0,1
200,0,0,1,0,4,378,36,21,0,2,4,1
201,1,0,0,0,4,289,33,30,0,2,1,1
202,1,0,0,0,4,235,37,29,1,1,1,0
203,0,0,0,0,4,235,48,33,0,1,5,0
204,1,0,0,0,5,289,33,30,0,2,1,1
205,0,0,0,1,5,155,34,25,0,2,0,0
206,0,0,0,1,5,155,34,25,0,2,0,0
207,0,0,1,0,5,179,38,31,0,0,0,1
208,0,0,1,0,5,225,28,24,0,1,2,1
209,1,0,0,0,5,184,27,21,0,0,0,1
210,0,0,0,1,5,155,34,25,0,2,0,0
211,1,0,0,0,5,179,38,31,0,0,0,0
212,1,0,0,0,5,289,33,30,0,2,1,1
213,0,0,0,0,5,279,39,24,0,2,0,0
214,0,0,0,0,5,330,28,25,1,0,0,0
215,0,0,0,0,5,378,36,21,0,2,4,0
216,0,0,0,0,5,388,50,24,0,0,0,0
217,1,0,0,0,5,179,38,31,0,0,0,0
218,1,0,0,0,5,118,50,31,0,1,0,1
219,0,0,0,1,5,361,28,27,0,1,4,1
220,0,0,1,0,6,246,41,23,0,0,0,1
221,0,0,0,1,6,361,28,27,0,1,4,1
222,1,0,0,0,6,246,41,23,0,0,0,1
223,0,0,0,1,6,291,40,25,0,1,1,1
224,1,0,0,0,6,246,41,23,0,0,0,1
225,1,0,0,0,6,179,38,31,0,0,0,1
226,0,0,0,1,6,155,34,25,0,2,0,1
227,1,0,0,0,6,246,41,23,0,0,0,1
228,1,0,0,0,6,118,50,31,0,1,0,1
229,1,0,0,0,6,235,37,29,1,1,1,1
230,0,0,0,1,6,118,50,31,0,1,0,0
231,1,0,0,0,6,118,50,31,0,1,0,1
232,0,0,0,1,6,378,36,21,0,2,4,1
233,1,0,0,0,6,179,38,31,0,0,0,0
234,0,0,0,1,6,289,49,36,0,0,2,0
235,0,0,0,1,6,225,28,24,0,1,2,0
236,0,0,1,0,7,155,34,25,0,2,0,1
237,1,0,0,0,7,118,50,31,0,1,0,1
238,1,0,0,0,7,118,37,28,0,0,0,1
239,0,0,0,1,7,118,37,28,0,0,0,1
240,0,0,0,1,7,330,28,25,1,0,0,1
241,0,0,1,0,7,179,30,19,1,0,0,1
242,0,0,0,1,7,155,34,25,0,2,0,0
243,1,0,0,0,7,330,28,25,1,0,0,1
244,1,0,0,0,7,330,28,25,1,0,0,1
245,0,0,0,1,7,157,29,22,0,0,0,0
246,0,0,0,1,7,361,28,27,0,1,4,1
247,0,0,0,1,7,289,33,30,0,2,1,1
248,0,0,0,1,7,179,38,31,0,0,0,1
249,0,0,1,0,7,289,33,30,0,2,1,1
250,0,0,1,0,7,289,33,30,0,2,1,1
251,0,0,0,0,7,260,36,23,0,4,0,0
252,0,0,1,0,8,289,33,30,0,2,1,1
253,0,0,1,0,8,157,29,22,0,0,0,0
254,0,0,0,1,8,289,33,30,0,2,1,0
255,0,0,1,0,8,228,58,22,0,2,1,1
256,1,0,0,0,8,300,43,25,0,2,1,0
257,1,0,0,0,8,300,43,25,0,2,1,0
258,0,0,0,1,8,260,36,23,0,4,0,1
259,0,0,0,1,8,289,33,30,0,2,1,1
260,0,0,0,1,8,248,47,32,0,2,1,0
261,1,0,0,0,8,268,33,25,1,0,0,1
262,0,0,0,1,8,179,30,19,1,0,0,0
263,1,0,0,0,8,118,50,31,0,1,0,0
264,0,0,0,1,8,248,47,32,0,2,1,0
265,0,0,0,1,8,235,37,29,1,1,1,0
266,0,0,0,1,8,118,50,31,0,1,0,0
267,0,0,1,0,8,235,37,29,1,1,1,1
268,1,0,0,0,8,361,28,27,0,1,4,1
269,1,0,0,0,8,184,27,21,0,0,0,1
270,1,0,0,0,9,179,38,31,0,0,0,1
271,0,0,0,1,9,179,38,31,0,0,0,0
272,0,0,1,0,9,289,33,30,0,2,1,1
273,0,0,0,0,9,235,43,38,0,1,0,0
274,1,0,0,0,9,246,41,23,0,0,0,1
275,0,0,0,1,9,291,40,25,0,1,1,0
276,0,0,0,0,9,231,39,35,0,2,2,0
277,0,0,0,0,9,291,32,23,0,0,0,0
278,1,0,0,0,9,179,38,31,0,0,0,1
279,1,0,0,0,9,246,41,23,0,0,0,1
280,0,0,0,1,9,179,38,31,0,0,0,0
281,0,0,0,1,9,291,40,25,0,1,1,1
282,0,0,0,1,9,260,36,23,0,4,0,1
283,0,0,0,1,9,235,43,38,0,1,0,1
284,0,0,0,1,9,118,50,31,0,1,0,0
285,0,0,0,0,9,235,43,38,0,1,0,0
286,0,0,0,1,9,291,40,25,0,1,1,0
287,1,0,0,0,9,291,40,25,0,1,1,1
288,1,0,0,0,9,179,38,31,0,0,0,1
289,0,0,0,1,10,289,33,30,0,2,1,1
290,0,0,0,1,10,235,37,29,1,1,1,1
291,0,0,0,1,10,289,33,30,0,2,1,1
292,0,0,0,1,10,289,33,30,0,2,1,1
293,0,0,0,0,10,118,50,31,0,1,0,0
294,0,0,0,0,10,248,47,32,0,2,1,0
295,1,0,0,0,10,179,30,19,1,0,0,1
296,1,0,0,0,10,118,37,28,0,0,0,0
297,0,0,0,1,10,369,31,25,0,3,0,1
298,0,0,0,1,10,179,38,31,0,0,0,0
299,1,0,0,0,10,179,30,19,1,0,0,1
300,0,0,0,0,10,235,43,38,0,1,0,0
301,0,0,1,0,10,289,33,30,0,2,1,1
302,0,0,0,1,10,260,36,23,0,4,0,0
303,0,0,0,0,10,235,43,38,0,1,0,0
304,0,0,0,1,10,235,43,38,0,1,0,0
305,0,0,0,1,10,235,43,38,0,1,0,0
306,0,0,0,1,10,118,50,31,0,1,0,0
307,0,0,0,1,10,291,40,25,0,1,1,1
308,0,0,0,1,10,179,30,19,1,0,0,1
309,0,0,0,1,10,118,50,31,0,1,0,0
310,1,0,0,0,10,361,28,27,0,1,4,1
311,0,0,0,0,10,260,36,23,0,4,0,0
312,0,0,0,0,10,291,40,25,0,1,1,0
313,0,0,0,0,10,157,29,22,0,0,0,0
314,1,0,0,0,10,179,30,19,1,0,0,1
315,1,0,0,0,10,179,30,19,1,0,0,1
316,0,0,0,1,10,118,50,31,0,1,0,0
317,1,0,0,0,11,118,37,28,0,0,0,1
318,0,0,0,1,11,248,47,32,0,2,1,0
319,1,0,0,0,11,179,38,31,0,0,0,1
320,0,0,0,1,11,260,36,23,0,4,0,0
321,0,0,0,1,11,291,40,25,0,1,1,0
322,1,0,0,0,11,378,36,21,0,2,4,1
323,1,0,0,0,11,155,34,25,0,2,0,1
324,0,0,0,1,11,235,43,38,0,1,0,1
325,0,0,0,0,11,330,28,25,1,0,0,0
326,0,0,1,0,11,235,37,29,1,1,1,0
327,1,0,0,0,11,118,37,28,0,0,0,0
328,0,0,0,1,11,235,37,29,1,1,1,0
329,0,0,0,1,11,179,38,31,0,0,0,0
330,1,0,0,0,11,246,41,23,0,0,0,1
331,1,0,0,0,11,291,40,25,0,1,1,1
332,1,0,0,0,11,246,41,23,0,0,0,1
333,0,0,0,1,11,179,38,31,0,0,0,0
334,1,0,0,0,11,260,36,23,0,4,0,1
335,0,1,0,0,11,260,36,23,0,4,0,1
336,0,0,0,0,11,378,36,21,0,2,4,0
337,0,0,0,0,11,279,39,24,0,2,0,0
338,0,0,0,1,11,179,38,31,0,0,0,0
339,1,0,0,0,12,225,28,24,0,1,2,0
340,0,0,0,1,12,179,38,31,0,0,0,0
341,0,0,0,1,12,179,38,31,0,0,0,0
342,0,0,0,1,12,235,37,29,1,1,1,0
343,0,0,0,1,12,118,50,31,0,1,0,0
344,0,0,0,1,12,260,36,23,0,4,0,1
345,1,0,0,0,12,246,41,23,0,0,0,1
346,0,0,0,1,12,179,38,31,0,0,0,0
347,0,0,0,1,12,179,38,31,0,0,0,0
348,0,0,0,1,12,179,30,19,1,0,0,0
349,0,0,0,1,12,118,37,28,0,0,0,1
350,0,0,0,1,12,235,37,29,1,1,1,0
351,0,0,0,1,12,179,38,31,0,0,0,0
352,1,0,0,0,12,235,43,38,0,1,0,1
353,1,0,0,0,12,235,37,29,1,1,1,1
354,0,0,0,1,12,260,36,23,0,4,0,1
355,0,0,0,1,12,157,29,22,0,0,0,0
356,0,0,0,1,12,179,38,31,0,0,0,0
357,0,0,1,0,12,289,33,30,0,2,1,1
358,0,0,0,1,1,225,28,24,0,1,2,1
359,0,0,1,0,1,118,37,28,0,0,0,1
360,0,0,0,1,1,155,34,25,0,2,0,0
361,1,0,0,0,1,235,37,29,1,1,1,0
362,0,0,0,1,1,155,34,25,0,2,0,1
363,0,0,0,1,1,289,33,30,0,2,1,1
364,1,0,0,0,1,291,40,25,0,1,1,1
365,0,0,0,1,1,235,43,38,0,1,0,1
366,0,0,0,1,1,118,50,31,0,1,0,1
367,0,0,0,1,1,179,38,31,0,0,0,0
368,0,0,0,1,1,179,38,31,0,0,0,0
369,0,0,0,1,2,118,37,28,0,0,0,0
370,0,0,0,1,2,179,38,31,0,0,0,0
371,1,0,0,0,2,225,28,24,0,1,2,0
372,0,0,0,1,2,289,33,30,0,2,1,0
373,0,0,0,1,2,260,36,23,0,4,0,0
374,0,0,0,1,2,179,38,31,0,0,0,0
375,0,0,0,1,2,179,38,31,0,0,0,0
376,0,0,0,1,2,179,38,31,0,0,0,0
377,1,0,0,0,2,179,38,31,0,0,0,1
378,0,0,0,1,2,246,41,23,0,0,0,1
379,0,0,0,1,2,179,38,31,0,0,0,0
380,0,0,0,1,2,189,33,25,0,2,2,1
381,0,0,0,1,2,179,38,31,0,0,0,0
382,0,0,0,1,2,246,41,23,0,0,0,0
383,0,0,0,1,2,291,40,25,0,1,1,0
384,1,0,0,0,2,157,29,22,0,0,0,1
385,0,0,0,1,2,179,38,31,0,0,0,0
386,0,0,0,1,2,179,38,31,0,0,0,0
387,1,0,0,0,2,246,41,23,0,0,0,1
388,0,0,0,1,2,179,38,31,0,0,0,0
389,0,0,0,1,2,179,38,31,0,0,0,0
390,0,0,1,0,3,118,37,28,0,0,0,1
391,0,0,1,0,3,246,41,23,0,0,0,1
392,0,0,0,1,3,246,41,23,0,0,0,0
393,0,0,0,1,3,260,36,23,0,4,0,1
394,0,0,0,1,3,179,38,31,0,0,0,0
395,0,0,0,1,3,235,37,29,1,1,1,1
396,0,0,0,1,3,179,40,22,1,2,0,1
397,0,0,0,1,3,378,36,21,0,2,4,1
398,0,0,0,1,3,179,38,31,0,0,0,1
399,0,0,0,1,3,361,28,27,0,1,4,1
400,0,0,0,0,3,369,31,25,0,3,0,0
401,0,0,1,0,3,235,37,29,1,1,1,1
402,0,0,0,1,3,118,50,31,0,1,0,0
403,1,0,0,0,3,118,50,31,0,1,0,0
404,1,0,0,0,3,118,50,31,0,1,0,1
405,0,0,0,0,3,235,37,29,1,1,1,0
406,0,0,0,0,3,246,41,23,0,0,0,0
407,0,0,0,0,3,118,50,31,0,1,0,0
408,0,0,0,1,3,179,38,31,0,0,0,1
409,0,0,0,1,3,289,33,30,0,2,1,1
410,0,0,1,0,3,260,36,23,0,4,0,1
411,0,0,0,1,3,246,41,23,0,0,0,0
412,0,0,0,1,4,179,38,31,0,0,0,1
413,0,0,0,1,4,260,36,23,0,4,0,0
414,0,0,0,1,4,330,28,25,1,0,0,1
415,0,0,0,1,4,369,31,25,0,3,0,1
416,0,0,0,1,4,248,47,32,0,2,1,1
417,0,0,0,1,4,330,28,25,1,0,0,1
418,0,0,0,1,4,179,38,31,0,0,0,1
419,0,0,0,1,4,118,50,31,0,1,0,0
420,1,0,0,0,4,118,50,31,0,1,0,1
421,0,0,0,1,4,300,43,25,0,2,1,1
422,0,0,0,1,4,260,36,23,0,4,0,1
423,0,0,0,1,4,179,38,31,0,0,0,1
424,1,0,0,0,4,118,37,28,0,0,0,0
425,1,0,0,0,5,235,43,38,0,1,0,1
426,0,0,0,1,5,248,47,32,0,2,1,0
427,1,0,0,0,5,369,31,25,0,3,0,1
428,0,0,0,1,5,179,30,19,1,0,0,0
429,0,0,0,1,5,179,38,31,0,0,0,1
430,0,0,0,1,5,361,28,27,0,1,4,0
431,0,0,0,1,5,260,36,23,0,4,0,0
432,1,0,0,0,5,179,40,22,1,2,0,0
433,1,0,0,0,5,179,40,22,1,2,0,0
434,0,0,1,0,5,228,58,22,0,2,1,1
435,0,0,0,1,5,225,28,24,0,1,2,0
436,1,0,0,0,5,330,28,25,1,0,0,1
437,0,0,0,1,5,179,30,19,1,0,0,0
438,0,0,0,1,5,118,37,28,0,0,0,0
439,1,0,0,0,5,235,37,29,1,1,1,1
440,0,0,0,1,5,179,30,19,1,0,0,0
441,0,0,0,1,6,118,37,28,0,0,0,0
442,0,0,0,1,6,179,38,31,0,0,0,0
443,0,0,0,1,6,118,37,28,0,0,0,0
444,0,0,0,1,6,225,28,24,0,1,2,1
445,0,0,0,1,6,260,36,23,0,4,0,1
446,0,0,0,0,6,179,38,31,0,0,0,0
447,1,0,0,0,6,291,40,25,0,1,1,1
448,0,0,0,1,6,179,38,31,0,0,0,1
449,0,0,0,1,6,246,41,23,0,0,0,0
450,0,0,0,1,6,179,38,31,0,0,0,1
451,0,0,0,1,6,235,43,38,0,1,0,1
452,0,0,0,1,6,179,38,31,0,0,0,0
453,0,0,0,1,6,225,28,24,0,1,2,0
454,0,0,0,1,6,118,50,31,0,1,0,0
455,1,0,0,0,6,179,38,31,0,0,0,1
456,0,0,1,0,6,179,30,19,1,0,0,0
457,0,0,0,1,6,246,41,23,0,0,0,0
458,1,0,0,0,6,330,28,25,1,0,0,0
459,1,0,0,0,6,235,37,29,1,1,1,1
460,0,0,0,1,7,179,30,19,1,0,0,0
461,0,0,0,1,7,225,28,24,0,1,2,1
462,1,0,0,0,7,260,36,23,0,4,0,1
463,1,0,0,0,7,268,33,25,1,0,0,1
464,0,0,0,1,7,330,28,25,1,0,0,1
465,0,0,0,1,7,118,37,28,0,0,0,1
466,0,0,0,1,7,260,36,23,0,4,0,1
467,0,0,0,1,7,118,37,28,0,0,0,1
468,0,1,0,0,7,300,43,25,0,2,1,1
469,0,0,0,1,7,235,48,33,0,1,5,0
470,0,0,0,1,7,246,41,23,0,0,0,0
471,1,0,0,0,7,225,28,24,0,1,2,1
472,0,0,0,1,7,179,38,31,0,0,0,0
473,0,0,0,1,7,118,50,31,0,1,0,0
474,0,0,0,1,7,361,28,27,0,1,4,1
475,0,0,0,1,7,289,33,30,0,2,1,1
476,0,0,0,1,7,235,43,38,0,1,0,1
477,0,0,0,1,7,246,41,23,0,0,0,0
478,0,0,0,1,7,291,40,25,0,1,1,0
479,0,0,0,1,7,279,39,24,0,2,0,0
480,0,0,0,1,8,179,38,31,0,0,0,1
481,0,0,0,1,8,179,40,22,1,2,0,0
482,0,0,0,1,8,246,41,23,0,0,0,1
483,0,0,0,1,8,118,37,28,0,0,0,1
484,0,0,0,1,8,289,33,30,0,2,1,1
485,0,0,0,1,8,235,43,38,0,1,0,1
486,0,0,0,1,8,291,40,25,0,1,1,1
487,0,0,0,1,8,179,38,31,0,0,0,1
488,0,0,0,1,8,179,40,22,1,2,0,1
489,0,0,0,1,8,330,28,25,1,0,0,1
490,0,0,0,1,8,235,37,29,1,1,1,1
491,0,0,0,1,8,246,41,23,0,0,0,0
492,0,0,0,1,8,118,37,28,0,0,0,1
493,0,0,0,1,8,291,40,25,0,1,1,0
494,0,0,0,1,8,260,36,23,0,4,0,0
495,0,0,0,1,9,246,41,23,0,0,0,0
496,0,0,0,1,9,246,41,23,0,0,0,0
497,0,0,0,1,9,118,37,28,0,0,0,0
498,0,0,0,1,9,155,34,25,0,2,0,0
499,0,0,0,1,9,291,40,25,0,1,1,0
500,0,0,0,1,9,179,30,19,1,0,0,1
501,0,0,0,1,9,248,47,32,0,2,1,0
502,0,0,0,1,9,179,38,31,0,0,0,1
503,0,0,0,1,9,225,28,24,0,1,2,0
504,0,0,0,1,9,179,30,19,1,0,0,0
505,0,0,0,1,9,369,31,25,0,3,0,1
506,0,0,0,1,9,361,28,27,0,1,4,1
507,1,0,0,0,10,289,49,36,0,0,2,0
508,1,0,0,0,10,235,32,25,1,0,0,0
509,0,0,0,1,10,246,41,23,0,0,0,1
510,1,0,0,0,10,289,49,36,0,0,2,0
511,0,0,0,1,10,291,40,25,0,1,1,0
512,0,0,0,1,10,118,37,28,0,0,0,0
513,0,0,0,1,10,289,49,36,0,0,2,0
514,0,0,0,1,10,291,40,25,0,1,1,0
515,0,0,0,1,10,225,28,24,0,1,2,0
516,0,0,0,1,10,369,31,25,0,3,0,1
517,0,0,0,1,10,369,31,25,0,3,0,0
518,0,0,0,1,10,225,28,24,0,1,2,1
519,0,0,0,1,10,369,31,25,0,3,0,1
520,0,0,0,1,10,179,38,31,0,0,0,0
521,1,0,0,0,10,228,58,22,0,2,1,0
522,0,0,0,1,10,291,40,25,0,1,1,0
523,1,0,0,0,10,369,31,25,0,3,0,1
524,1,0,0,0,10,225,28,24,0,1,2,0
525,1,0,0,0,10,369,31,25,0,3,0,1
526,1,0,0,0,10,225,28,24,0,1,2,0
527,0,0,0,1,10,189,33,25,0,2,2,1
528,1,0,0,0,10,235,32,25,1,0,0,1
529,1,0,0,0,10,248,47,32,0,2,1,1
530,0,0,0,0,10,225,28,24,0,1,2,0
531,1,0,0,0,10,225,28,24,0,1,2,0
532,0,0,1,0,11,179,38,31,0,0,0,0
533,0,0,0,1,11,118,37,28,0,0,0,0
